Unnamed: 0,State,Crop,District,Year,Season,Area,Production,Yield,Annual_Rainfall,Fertilizer,Pesticide,Max_Temp,Min_Temp,Avg_temp,Rainfall,Humidity,Soil
0,Odisha,Arhar/Tur,Anugul,1997,rabi,3555,739.0,0.21,1496.6,2438350.57,7942.51,32.70204977070086,20.89242019864078,26.79608235283079,1377.1219666641532,72.6921460233902,BLACK SOIL &RED SOIL
1,Odisha,Arhar/Tur,Anugul,1997,zaid,469,115.0,0.25,1496.6,8237820.03,26833.29,32.70204977070086,20.89242019864078,26.79608235283079,1377.1219666641532,72.6921460233902,BLACK SOIL &RED SOIL
2,Odisha,Arhar/Tur,Anugul,1997,rabi,660,114.0,0.17,1496.6,11092349.01,36131.43,32.70204977070086,20.89242019864078,26.79608235283079,1377.1219666641532,72.6921460233902,BLACK SOIL &RED SOIL
4,Odisha,Arhar/Tur,Anugul,1999,kharif,7960,5010.0,0.63,1484.3,14442170.4,36741.6,32.70204977070086,20.89242019864078,26.79608235283079,1377.1219666641532,72.6921460233902,BLACK SOIL &RED SOIL
6,Odisha,Arhar/Tur,Anugul,2000,kharif,8930,6430.0,0.72,1066.0,14641073.8,38776.4,32.70204977070086,20.89242019864078,26.79608235283079,1377.1219666641532,72.6921460233902,BLACK SOIL &RED SOIL
8,Odisha,Arhar/Tur,Anugul,2002,kharif,8730,6050.0,0.69,1102.8,10810367.3,28547.5,32.70204977070086,20.89242019864078,26.79608235283079,1377.1219666641532,72.6921460233902,BLACK SOIL &RED SOIL
10,Odisha,Arhar/Tur,Anugul,2003,kharif,9500,6500.0,0.68,1648.2,13514729.2,32769.6,32.70204977070086,20.89242019864078,26.79608235283079,1377.1219666641532,72.6921460233902,BLACK SOIL &RED SOIL
12,Odisha,Arhar/Tur,Anugul,2019,kharif,9250,9570.0,1.03,1593.9,22093488.8,47593.1,32.70204977070086,20.89242019864078,26.79608235283079,1377.1219666641532,72.6921460233902,BLACK SOIL &RED SOIL
14,Odisha,Arhar/Tur,Balangir,1997,rabi,4768,1117.0,0.23,1496.6,2438350.57,7942.51,32.70204977070086,20.89242019864078,26.79608235283079,1377.1219666641532,72.6921460233902,BLACK SOIL &RED SOIL
15,Odisha,Arhar/Tur,Balangir,1997,zaid,482,111.0,0.23,1496.6,8237820.03,26833.29,32.70204977070086,20.89242019864078,26.79608235283079,1377.1219666641532,72.6921460233902,BLACK SOIL &RED SOIL
16,Odisha,Arhar/Tur,Balangir,1997,rabi,3801,487.0,0.13,1496.6,11092349.01,36131.43,32.70204977070086,20.89242019864078,26.79608235283079,1377.1219666641532,72.6921460233902,BLACK SOIL &RED SOIL
18,Odisha,Arhar/Tur,Balangir,1999,kharif,12290,5710.0,0.46,1484.3,14442170.4,36741.6,32.70204977070086,20.89242019864078,26.79608235283079,1377.1219666641532,72.6921460233902,BLACK SOIL &RED SOIL
20,Odisha,Arhar/Tur,Balangir,2000,kharif,12470,7320.0,0.59,1066.0,14641073.8,38776.4,32.70204977070086,20.89242019864078,26.79608235283079,1377.1219666641532,72.6921460233902,BLACK SOIL &RED SOIL
22,Odisha,Arhar/Tur,Balangir,2001,kharif,10010,4750.0,0.47,1672.5,12876550.4,32780.8,32.70204977070086,20.89242019864078,26.79608235283079,1377.1219666641532,72.6921460233902,BLACK SOIL &RED SOIL
24,Odisha,Arhar/Tur,Balangir,2002,kharif,7680,4850.0,0.63,1102.8,10810367.3,28547.5,32.70204977070086,20.89242019864078,26.79608235283079,1377.1219666641532,72.6921460233902,BLACK SOIL &RED SOIL
26,Odisha,Arhar/Tur,Balangir,2003,kharif,9160,7140.0,0.78,1648.2,13514729.2,32769.6,32.70204977070086,20.89242019864078,26.79608235283079,1377.1219666641532,72.6921460233902,BLACK SOIL &RED SOIL
28,Odisha,Arhar/Tur,Balangir,2019,kharif,8600,10310.0,1.2,1593.9,22093488.8,47593.1,32.70204977070086,20.89242019864078,26.79608235283079,1377.1219666641532,72.6921460233902,BLACK SOIL &RED SOIL
30,Odisha,Arhar/Tur,Baleshwar,1997,zaid,3913,646.0,0.17,1496.6,8237820.03,26833.29,32.70204977070086,20.89242019864078,26.79608235283079,1377.1219666641532,72.6921460233902,BLACK SOIL &RED SOIL
31,Odisha,Arhar/Tur,Baleshwar,1997,rabi,5,1.0,0.2,1496.6,11092349.01,36131.43,32.70204977070086,20.89242019864078,26.79608235283079,1377.1219666641532,72.6921460233902,BLACK SOIL &RED SOIL
33,Odisha,Arhar/Tur,Baleshwar,1999,kharif,310,200.0,0.65,1484.3,14442170.4,36741.6,32.70204977070086,20.89242019864078,26.79608235283079,1377.1219666641532,72.6921460233902,BLACK SOIL &RED SOIL
35,Odisha,Arhar/Tur,Baleshwar,2000,kharif,290,150.0,0.52,1066.0,14641073.8,38776.4,32.70204977070086,20.89242019864078,26.79608235283079,1377.1219666641532,72.6921460233902,BLACK SOIL &RED SOIL
37,Odisha,Arhar/Tur,Baleshwar,2001,kharif,270,170.0,0.63,1672.5,12876550.4,32780.8,32.70204977070086,20.89242019864078,26.79608235283079,1377.1219666641532,72.6921460233902,BLACK SOIL &RED SOIL
